"SAMPLE_ID","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","COLLECTOR_SP","UPDATED_SP","REGION","STATE","LOCATION","LAT","LON"
"SAMAR_49141_Ct_scho","ABTC58605","SAMAR49141","SAMAR_49141",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","below Iron Knight South",-33.22194,137.1086
"SAMAR_41321_Ct_scho","ABTC39983","SAMAR41321","SAMAR_41321",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","Oakbank Station",-33.12778,140.6444
"SAMAR_37073_Ct_scho","ABTC17226",NA,"SAMAR_37073",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","SA","Brookfield CP",-34.31667,139.5
"QM_87405_Ct_rosa","ABTC105820","QM87405","QM_87405","ROSAA105820","Ctenotus","rosarium","rosarium","Australia","QLD","White Mountains NP",-20.724,145.179
"SAMAR_55848_Ct_stra","ABTC77169","SAMAR55848","SAMAR_55848",NA,"Ctenotus","strauchii","cf. zebrilla","Australia","QLD","Breakneck Gully 45k NW Charters Towers",-19.8175,146.0314
"SAMAR_55709_Ct_zebr","ABTC77031","SAMAR55709","SAMAR_55709",NA,"Ctenotus","zebrilla","zebrilla","Australia","QLD","Kennedy Developmental Road turnoff to Porcupine Gorge",-20.38056,144.4222
"SAMR_54494_Ct_zebr","ABTC72908","SAM54494","SAMR_54494","ZEBRA72908","Ctenotus","zebrilla","zebrilla","Australia","QLD","15k N Porcupine Creek Campground",-20.253,144.4656
"SAMR_54511_Ct_zebr","ABTC72937","SAM54511","SAMR_54511","ZEBRA72937","Ctenotus","zebrilla","zebrilla","Australia","QLD","Porcupine Creek, 27k N Porcupine Creek campground",-20.164,144.5183
"QMJ_74401_Ct_zebr","ABTC72938","QMJ74401","QMJ_74401",NA,"Ctenotus","zebrilla","zebrilla","Australia","QLD","Porcupine Creek  27k N Porcupine Creek campground",-20.16389,144.5183
"NA_ABTC125975_Ct_allo","ABTC125975","SAMAR","no_voucher",NA,"Ctenotus","allotropis","cf. allotropis","Australia","QLD","see Stephen Mahony for data",NA,NA
"SAMR_55734_Ct_stra","ABTC77050","SAM55734","SAMR_55734",NA,"Ctenotus","strauchii","strauchii","Australia","QLD","19k S Julia Creek on Julia Creek-Kynuna Road",-20.824,141.7464
"SAMAR_42743_Ct_stra","ABTC8985",NA,"SAMAR_42743",NA,"Ctenotus","strauchii","strauchii","Australia","QLD","84k N Muttaburra",-21.91667,144.4167
"SAMAR_36883_Ct_stra","ABTC56894","SAMAR36883","SAMAR_36883",NA,"Ctenotus","strauchii","strauchii","Australia","QLD","110k W Thargomindah",-27.71667,142.8
"SAMAR_45516_Ct_stra","ABTC58210","SAMAR45516","SAMAR_45516",NA,"Ctenotus","strauchii","strauchii","Australia","NSW","Mootwingee NP",-31.06667,142.55
"NA_ABTC113879_Ct_stra","ABTC113879",NA,"QMJ_90788",NA,"Ctenotus","strauchii","strauchii","Australia","QLD","4.9k NW old Lochern Homestead site",-24.09389,143.3081
"SAMAR_42874_Ct_stra","ABTC9119",NA,"SAMAR_42874",NA,"Ctenotus","strauchii","strauchii","Australia","QLD","30k E NOONBAH Station",-24.11667,143.4167
"SAMR_42881_Ct_stra","ABTC09125","SAM42881","SAMR_42881","STRAA09125","Ctenotus","strauchii","strauchii","Australia","QLD","30k E NOONBAH Station",-24.117,143.4167
"SAMAR_50902_Ct_stra","ABTC38305","SAMAR50902","SAMAR_50902",NA,"Ctenotus","strauchii","strauchii","Australia","SA","18.9k NNW Murda Hill",-26.78667,138.3025
