SAMPLE_ID,TISSUE_ID,REGO,VOUCHER,ALTERNATIVE_ID,GENUS,SPECIES,UPDATED_SP,REGION,LOCATION,STATE,LAT,LON,VoucherNotes
CUMV_14570_Ct_pant,DLR0100,CU14570,CUMV_14570,PANTDLR0100,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_1457314504_Ct_pant,DLR0128,CU14573_14504,CUMV_14573_14504,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_1457414505_Ct_pant,DLR0135,CU14574_14505,CUMV_14574_14505,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_1457514506_Ct_pant,DLR0166,CU14575_14506,CUMV_14575_14506,NA,Ctenotus,pantherinus,pantherinus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14576_Ct_pant,DLR0372,CU14576,CUMV_14576,PANTDLR0372,Ctenotus,pantherinus,pantherinus,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
CUMV_14589_Ct_hele,DLR0036,CU14589,CUMV_14589,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14590_Ct_hele,DLR0119,CU14590,CUMV_14590,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14591_Ct_hele,DLR0134,CU14591,CUMV_14591,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14593_Ct_hele,DLR0093,CU14593,CUMV_14593,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14594_Ct_hele,DLR0116,CU14594,CUMV_14594,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14595_Ct_hele,DLR0132,CU14595,CUMV_14595,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14596_Ct_hele,DLR0179,CU14596,CUMV_14596,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14597_Ct_hele,DLR0070,CU14597,CUMV_14597,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14598_Ct_hele,DLR0090,CU14598,CUMV_14598,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14599_Ct_hele,DLR0130,CU14599,CUMV_14599,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14600_Ct_hele,DLR0049,CU14600,CUMV_14600,HELEDLR0049,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14601_Ct_hele,DLR0141,CU14601,CUMV_14601,NA,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14602_Ct_hele,DLR0193,CU14602,CUMV_14602,HELEDLR0193,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14604_Ct_hele,DLR0223,CU14604,CUMV_14604,HELEDLR0223,Ctenotus,helenae,inornatus,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14606_Ct_hele,DLR0563,CU14606,CUMV_14606,HELEDLR0563,Ctenotus,helenae,inornatus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14611_Ct_hele,DLR0278,CU14611,CUMV_14611,HELEDLR0278,Ctenotus,helenae,inornatus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14612_Ct_hele,DLR0376,CU14612,CUMV_14612,HELEDLR0376,Ctenotus,helenae,inornatus,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
CUMV_14613_Le_dese,DLR0226,CU14613,CUMV_14613,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14614_Le_dese,DLR0233,CU14614,CUMV_14614,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14616_Le_dese,DLR0240,CU14616,CUMV_14616,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14617_Le_dese,DLR0241,CU14617,CUMV_14617,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14618_Le_dese,DLR0016,CU14618,CUMV_14618,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14619_Le_dese,DLR0026,CU14619,CUMV_14619,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14620_Le_dese,DLR0027,CU14620,CUMV_14620,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14634_Le_dese,DLR0029,CU14634,CUMV_14634,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14635_Le_dese,DLR0069,CU14635,CUMV_14635,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14636_Le_dese,DLR0169,CU14636,CUMV_14636,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14637_Le_dese,DLR0170,CU14637,CUMV_14637,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14638_Le_dese,DLR0173,CU14638,CUMV_14638,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14639_Le_dese,DLR0209,CU14639,CUMV_14639,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14640_Le_dese,DLR0409,CU14640,CUMV_14640,NA,Lerista,desertorum,desertorum,Australia,"Lake Mason Stn, Western Australia",WA,-27.586,119.5208,NA
CUMV_14655_Ct_hele,DLR0592,CU14655,CUMV_14655,NA,Ctenotus,helenae,inornatus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14656_Ct_hele,DLR0605,CU14656,CUMV_14656,NA,Ctenotus,helenae,inornatus,Australia,"Yamarna Stn, Western Australia",WA,-28.133,123.8667,NA
CUMV_14664_Le_dese,DLR0020,CU14664,CUMV_14664,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
CUMV_14665_Le_dese,DLR0046,CU14665,CUMV_14665,NA,Lerista,desertorum,desertorum,Australia,"Lorna Glen Stn, Western Australia",WA,-26.226,121.5575,NA
