"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"SAMAR_36086_Ct_leae",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_8",0.998901,"ABTC30801","SAMAR36086","SAMAR_36086",NA,"Ctenotus","leae","leae","Australia","Yulara","NT",-25.23333,131.0167,NA
"SAMAR_38335_Ct_orie",9.99037e-05,0.998901,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,"cluster_2",0.998901,"ABTC57134","SAMAR38335","SAMAR_38335",NA,"Ctenotus","orientalis","orientalis","Australia","Roonka  10k N Blanchetown","SA",-34.28333,139.6333,NA
"SAMAR_38585_Ct_leae",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_8",0.998901,"ABTC57254","SAMAR38585","SAMAR_38585",NA,"Ctenotus","leae","leae","Australia","50m S Yorkeys Crossing","SA",-32.41667,137.75,NA
"SAMAR_39580_Ct_orie",9.99037e-05,0.998901,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,"cluster_2",0.998901,"ABTC34524","SAMAR39580","SAMAR_39580",NA,"Ctenotus","orientalis","orientalis","Australia","7.5k NNW Kirra","SA",-35.71583,140.8469,NA
"SAMAR_40597_Ct_regi",9.99033e-05,9.99033e-05,9.99033e-05,9.99033e-05,9.99033e-05,9.99033e-05,9.99033e-05,9.99033e-05,9.99033e-05,0.998901,9.99033e-05,9.99033e-05,"cluster_10",0.998901,"ABTC57401","SAMAR40597","SAMAR_40597",NA,"Ctenotus","regius","regius","Australia","4k E Lake Woorong","SA",-29.45,134.2,NA
"SAMAR_40799_Ct_leae",9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,"cluster_8",0.998901,"ABTC57490","SAMAR40799","SAMAR_40799",NA,"Ctenotus","leae","leae","Australia","3k W Wirrappa Rail Siding","SA",-31.4,136.9667,NA
"SAMAR_40888_Ct_regi",9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,"cluster_10",0.998901,"ABTC57523","SAMAR40888","SAMAR_40888",NA,"Ctenotus","regius","regius","Australia","Morgan CP","SA",-34.05,139.1833,NA
"SAMAR_41282_Ct_olym",9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"cluster_7",0.998901,"ABTC39891","SAMAR41282","SAMAR_41282",NA,"Ctenotus","olympicus","olympicus","Australia","Twenty Three Mile Dam","SA",-33.70278,140.9889,NA
"SAMAR_42675_Ct_pulc",9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,"cluster_6",0.998901,"ABTC8928",NA,"SAMAR_42675",NA,"Ctenotus","pulchellus","pulchellus","Australia","138k N Boulia","QLD",-21.73333,139.55,NA
"SAMAR_42701_Ct_pulc",9.99001e-05,9.99001e-05,9.99001e-05,9.99001e-05,9.99001e-05,0.998901,9.99001e-05,9.99001e-05,9.99001e-05,9.99001e-05,9.99001e-05,9.99001e-05,"cluster_6",0.998901,"ABTC8951",NA,"SAMAR_42701",NA,"Ctenotus","pulchellus","pulchellus","Australia","Quamby","QLD",-20.36667,140.2833,NA
