"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","cluster_12","ID"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,9.99035e-05,"SAMR_49090_Ct_leon"
9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,9.99036e-05,"SAMR_51082_Ct_leon"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,"SAMR_51580_Ct_leon"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,"SAMR_55163_Ct_regi"
9.99124e-05,9.99124e-05,0.989076,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,9.99124e-05,0.00992468,9.99124e-05,"SAMR_55678_Ct_hebe"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,"SAMR_58939_Ct_quat"
9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,0.0411857,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,0.957815,"SAMR_62088_Ct_quat"
0.995913,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,9.99125e-05,0.00308832,9.99125e-05,"SAMR_62131_Ct_leon"
9.99037e-05,9.99037e-05,0.998901,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,"SAMR_65346_Ct_hebe"
9.99037e-05,9.99037e-05,0.998901,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,9.99037e-05,"SAMR_65347_Ct_hebe"
9.99036e-05,9.99036e-05,0.998901,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,"SAMR_65379_Ct_hebe"
9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"SAMR_65380_Ct_hebe"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"UMMZ_242606_Ct_aust"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"UMMZ_242607_Ct_aust"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,"UMMZ_242645_Ct_quat"
9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,0.998901,"UMMZ_242646_Ct_quat"
9.99035e-05,0.998901,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,"WAMR_112780_Ct_orie"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"WAMR_115114_Ct_aust"
9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"WAMR_115119_Ct_aust"
0.998901,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,9.99038e-05,"WAMR_117303_Ct_leon"
0.978311,9.99123e-05,9.99123e-05,9.99123e-05,9.99123e-05,9.99123e-05,9.99123e-05,9.99123e-05,9.99123e-05,9.99123e-05,0.0206898,9.99123e-05,"WAMR_119774_Ct_leon"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,"WAMR_127432_Ct_quat"
0.998901,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,9.99036e-05,"WAMR_129973_Ct_leon"
0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"WAMR_131785_Ct_leon"
9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,9.99035e-05,0.998901,"WAMR_139532_Ct_iape"
0.998901,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,9.99034e-05,"WAMR_144639_Ct_leon"
0.924564,9.99213e-05,9.99213e-05,9.99213e-05,0.0195219,9.99213e-05,9.99213e-05,9.99213e-05,0.0550147,9.99213e-05,9.99213e-05,9.99213e-05,"WAMR_166448_Ct_leon"
