"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","ID"
9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,0.999201,"NA_CCM1529_Ct_inor"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,"NA_CCM1530_Ct_robu"
9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,"NA_CCM1579_Ct_inor"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,"NA_CCM1580_Ct_inor"
9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,0.999201,9.9934e-05,"NA_CCM1710_Ct_inor"
0.999201,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,"NA_CCM2292_Ct_inor"
9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,"NA_CCM2497_Ct_spal"
0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"NA_CCM2518_Ct_vert"
0.999201,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,"NA_CCM2565_Ct_vert"
9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"NA_CCM2866_Ct_robu"
0.999201,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,9.99336e-05,"NA_CCM3869_Ct_inor"
9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,"NA_CCM4920_Ct_essi"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,"NA_CCM5477_Ct_vert"
9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"NTMR_13838_Ct_bore"
9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"NTMR_17739_Ct_bore"
9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"NTMR_18323_Ct_robu"
9.99342e-05,9.99342e-05,0.999201,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,"NTMR_20378_Ct_robu"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,"NTMR_21670_Ct_spal"
9.99343e-05,9.99343e-05,0.999201,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,9.99343e-05,"NTMR_22166_Ct_robu"
9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,9.99335e-05,0.999201,9.99335e-05,9.99335e-05,"NTMR_22298_Ct_spal"
9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,"NTMR_22299_Ct_spal"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,"NTMR_22325_Ct_spal"
9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,"NTMR_22620_Ct_robu"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,"NTMR_22621_Ct_spal"
9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,9.99337e-05,0.999201,9.99337e-05,9.99337e-05,"NTMR_22622_Ct_spal"
9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"NTMR_23004_Ct_bore"
9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"NTMR_23960_Ct_robu"
9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,"NTMR_25983_Ct_spal"
0.999201,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,9.9934e-05,"SAMAR_34180_Ct_bore"
9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,"SAMAR_34202_Ct_spal"
9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"SAMAR_34261_Ct_late"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"SAMAR_42687_Ct_late"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"SAMAR_42768_Ct_late"
9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,9.99341e-05,0.999201,9.99341e-05,9.99341e-05,"SAMAR_51093_Ct_spal"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,"SAMAR_54433_Ct_late"
9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"SAMAR_54463_Ct_late"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,"SAMAR_54485_Ct_spal"
9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,0.999201,9.99339e-05,9.99339e-05,9.99339e-05,9.99339e-05,"SAMAR_55259_Ct_late"
9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,9.99342e-05,0.999201,9.99342e-05,9.99342e-05,"SAMAR_55675_Ct_spal"
9.99425e-05,0.220315,9.99425e-05,9.99425e-05,0.778985,9.99425e-05,9.99425e-05,9.99425e-05,9.99425e-05,"SAMAR_55799_Ct_late"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,"SAMR_21493_Ct_robu"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,"SAMR_28536_Ct_robu"
9.99429e-05,0.940111,9.99429e-05,9.99429e-05,0.0591893,9.99429e-05,9.99429e-05,9.99429e-05,9.99429e-05,"SAMR_29707_Ct_brac"
9.993e-05,9.993e-05,9.993e-05,9.993e-05,9.993e-05,0.999201,9.993e-05,9.993e-05,9.993e-05,"SAMR_32932_Ct_robu"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,"SAMR_33525_Ct_robu"
9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,9.99338e-05,0.999201,9.99338e-05,9.99338e-05,9.99338e-05,"SAMR_33695_Ct_robu"
