"cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_9","cluster_10","cluster_11","ID"
9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,"SAMAR_42903_Ct_asta"
9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_42949_Ct_orie"
9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_42950_Ct_orie"
9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_43599_Ct_olym"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_43880_Ct_leae"
9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,"SAMAR_44654_Ct_olym"
0.00679575,9.99297e-05,9.99297e-05,0.95591,9.99297e-05,9.99297e-05,9.99297e-05,9.99297e-05,9.99297e-05,9.99297e-05,0.0364946,"SAMAR_45620_Ct_olym"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_45966_Ct_leae"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_46332_Ct_leae"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_48098_Ct_regi"
9.99117e-05,0.999001,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,"SAMAR_49444_Ct_orie"
9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,0.977794,9.99207e-05,9.99207e-05,0.0213072,"SAMAR_51242_Ct_regi"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,9.99117e-05,"SAMAR_51421_Ct_regi"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_51431_Ct_leae"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_52787_Ct_leae"
9.9912e-05,0.999001,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,"SAMAR_52918_Ct_orie"
9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,9.99208e-05,0.995885,9.99208e-05,9.99208e-05,0.00321606,"SAMAR_53967_Ct_regi"
9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,9.9912e-05,0.999001,9.9912e-05,9.9912e-05,9.9912e-05,"SAMAR_54164_Ct_regi"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_54242_Ct_leae"
0.0387612,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,9.99207e-05,0.96034,9.99207e-05,9.99207e-05,"SAMAR_55677_Ct_hebe"
9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,9.99101e-05,0.999001,9.99101e-05,9.99101e-05,9.99101e-05,"SAMAR_57181_Ct_regi"
9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,9.99117e-05,0.999001,9.99117e-05,9.99117e-05,9.99117e-05,"SAMAR_57722_Ct_regi"
9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMAR_61391_Ct_orie"
9.99121e-05,9.99121e-05,9.99121e-05,0.999001,9.99121e-05,9.99121e-05,9.99121e-05,9.99121e-05,9.99121e-05,9.99121e-05,9.99121e-05,"SAMAR_62424_Ct_orie"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMAR_66522_Ct_leae"
0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_22246_Ct_leon"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_36241_Ct_hele"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMR_42708_Ct_pulc"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_42772_Ct_pulc"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,"SAMR_43844_Ct_quat"
9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_44403_Ct_quat"
0.999001,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,9.99118e-05,"SAMR_46944_Ct_leon"
9.99297e-05,9.99297e-05,9.99297e-05,0.0124075,9.99297e-05,9.99297e-05,9.99297e-05,0.960546,9.99297e-05,9.99297e-05,0.0262474,"SAMR_47236_Ct_regi"
9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,9.99119e-05,0.999001,9.99119e-05,9.99119e-05,9.99119e-05,"SAMR_48330_Ct_regi"
0.00449355,9.99295e-05,9.99295e-05,9.99295e-05,9.99295e-05,0.955867,9.99295e-05,9.99295e-05,9.99295e-05,9.99295e-05,0.0388397,"SAMR_48771_Ct_gree"
