"ID","cluster_1","cluster_2","cluster_3","cluster_4","cluster_5","cluster_6","cluster_7","cluster_8","cluster_assign","coeff","TISSUE_ID","REGO","VOUCHER","ALTERNATIVE_ID","GENUS","SPECIES","UPDATED_SP","REGION","LOCATION","STATE","LAT","LON","VoucherNotes"
"SAMAR_36575_Ct_eucl",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC56794","SAMAR36575","SAMAR_36575",NA,"Ctenotus","euclae","euclae","Australia","7.5k NNW Courtabie","SA",-33.175,134.825,NA
"SAMAR_36883_Ct_stra",9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_4",0.9993,"ABTC56894","SAMAR36883","SAMAR_36883",NA,"Ctenotus","strauchii","strauchii","Australia","110k W Thargomindah","QLD",-27.71667,142.8,NA
"SAMAR_37073_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC17226",NA,"SAMAR_37073",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","Brookfield CP","SA",-34.31667,139.5,NA
"SAMAR_37916_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC57004","SAMAR37916","SAMAR_37916",NA,"Ctenotus","strauchii","strauchii","Australia","6k W Bopeechee near Lake Eyre South","SA",-29.55833,137.325,NA
"SAMAR_39563_Ct_taen",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC34360","SAMAR39563","SAMAR_39563",NA,"Ctenotus","taeniatus","taeniatus","Australia","14k SE Baan Hill","SA",-35.62389,140.4789,NA
"SAMAR_41321_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC39983","SAMAR41321","SAMAR_41321",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","Oakbank Station","SA",-33.12778,140.6444,NA
"SAMAR_41349_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC40026","SAMAR41349","SAMAR_41349",NA,"Ctenotus","strauchii","strauchii","Australia","Mustering Dam","SA",-33.60278,139.6278,NA
"SAMAR_41903_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC33841","SAMAR41903","SAMAR_41903",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","Blue Hills Bore","SA",-27.13083,132.8636,NA
"SAMAR_42343_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC57669","SAMAR42343","SAMAR_42343",NA,"Ctenotus","strauchii","strauchii","Australia","4.5k W Johnsons Dam on Station track","SA",-30.56667,139.35,NA
"SAMAR_42658_Ct_taen",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,"cluster_6",0.9993,"ABTC8918",NA,"SAMAR_42658",NA,"Ctenotus","taeniatus","taeniatus","Australia","Cacoory Ruins","QLD",-25.23333,139.55,NA
"SAMAR_42743_Ct_stra",9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_4",0.9993,"ABTC8985",NA,"SAMAR_42743",NA,"Ctenotus","strauchii","strauchii","Australia","84k N Muttaburra","QLD",-21.91667,144.4167,NA
"SAMAR_42800_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC9042",NA,"SAMAR_42800",NA,"Ctenotus","strauchii","strauchii","Australia","22k W Diamantina Station","QLD",-23.66667,140.9667,NA
"SAMAR_42874_Ct_stra",9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_4",0.9993,"ABTC9119",NA,"SAMAR_42874",NA,"Ctenotus","strauchii","strauchii","Australia","30k E NOONBAH Station","QLD",-24.11667,143.4167,NA
"SAMAR_42955_Ct_stra",9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_2",0.9993,"ABTC9202",NA,"SAMAR_42955",NA,"Ctenotus","strauchii","strauchii","Australia","Betoota","QLD",-25.68333,140.7333,NA
"SAMAR_45381_Ct_calu",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,"cluster_8",0.9993,"ABTC58161","SAMAR45381","SAMAR_45381",NA,"Ctenotus","calurus","calurus","Australia","21k E Maryinna Hill","SA",-26.95333,131.4353,NA
"SAMAR_45516_Ct_stra",9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_4",0.9993,"ABTC58210","SAMAR45516","SAMAR_45516",NA,"Ctenotus","strauchii","strauchii","Australia","Mootwingee NP","NSW",-31.06667,142.55,NA
"SAMAR_45530_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,"cluster_5",0.9993,"ABTC35116","SAMAR45530","SAMAR_45530",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","17k NNE Inila Rockwater","SA",-31.62361,133.4514,NA
"SAMAR_45963_Ct_broo",9.994e-05,9.994e-05,0.9993,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,"cluster_3",0.9993,"ABTC58270","SAMAR45963","SAMAR_45963",NA,"Ctenotus","brooksi","brooksi","Australia","25k NW Kunytjanu","SA",-26.48778,129.1736,NA
"SAMAR_46104_Ct_scho",9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,9.994e-05,0.9993,9.994e-05,"cluster_7",0.9993,"ABTC41767","SAMAR46104","SAMAR_46104",NA,"Ctenotus","schomburgkii","schomburgkii","Australia","21k ENE Pipalyatjara","SA",-26.11806,129.3714,NA
