ID,cluster,group
WAMR_166390_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
WAMR_166391_Ct_hele,inornatus_gr_cluster_2,inornatus_gr
AMSR_138399_Ct_uber,leonhardii_gr_cluster_2,leonhardii_gr
AMSR_152993_Ct_uber,leonhardii_gr_cluster_2,leonhardii_gr
AMSR_153434_Ct_uber,leonhardii_gr_cluster_7,leonhardii_gr
CUMV_14377_Ct_gree,leonhardii_gr_cluster_9,leonhardii_gr
CUMV_14378_Ct_gree,leonhardii_gr_cluster_9,leonhardii_gr
CUMV_14467_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
CUMV_14468_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
CUMV_14469_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
CUMV_14470_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
CUMV_14730_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
CUMV_14742_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
CUMV_14744_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
CUMV_14847_Ct_quat,leonhardii_gr_cluster_12,leonhardii_gr
NA_ABTC10512_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
NA_ABTC113897_Ct_hebe,leonhardii_gr_cluster_3,leonhardii_gr
NA_ABTC86833_Ct_regi,leonhardii_gr_cluster_10,leonhardii_gr
NA_CCM1955_Ct_leon,leonhardii_gr_cluster_1,leonhardii_gr
NTMR_13629_Ct_gree,leonhardii_gr_cluster_9,leonhardii_gr
NTMR_25649_Ct_leon,leonhardii_gr_cluster_11,leonhardii_gr
QMJ_62373_Ct_asta,leonhardii_gr_cluster_4,leonhardii_gr
SAMAR_24688_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
SAMAR_25645_Ct_orie,leonhardii_gr_cluster_2,leonhardii_gr
SAMAR_28517_Ct_olym,leonhardii_gr_cluster_7,leonhardii_gr
SAMAR_29853_Ct_leae,leonhardii_gr_cluster_8,leonhardii_gr
