,CUMV_14591_Ct_hele,CUMV_14596_Ct_hele,CUMV_14601_Ct_hele,CUMV_14602_Ct_hele,CUMV_14604_Ct_hele,CUMV_14606_Ct_hele,CUMV_14611_Ct_hele,CUMV_14612_Ct_hele,CUMV_14656_Ct_hele,NA_ABTC31797_Ct_saxa,NA_ABTC60781_Ct_hele,SAMR_29707_Ct_brac,SAMR_36252_Ct_brac,SAMR_36349_Ct_brac,SAMR_44367_Ct_hele,SAMR_45480_Ct_saxa,SAMR_46119_Ct_hele,SAMR_46880_Ct_saxa,SAMR_48710_Ct_hele,SAMR_50208_Ct_saxa,UMMZ_242614_Ct_hele,UMMZ_242616_Ct_hele,UMMZ_242623_Ct_hele,UMMZ_244288_ct_inor,WAMR_094929_Ct_hele,WAMR_102423_Ct_saxa,WAMR_102771_Ct_hele,WAMR_129923_Ct_hele,WAMR_131009_Ct_hele,WAMR_131018_Ct_fall,WAMR_131371_Ct_hele,WAMR_135396_Ct_hele,WAMR_140720_Ct_hele,WAMR_145567_Ct_hele,WAMR_152991_Ct_seve,WAMR_166390_Ct_hele,WAMR_166391_Ct_hele
NA_ABTC60781_Ct_hele,1058.85693084571,1058.85693084571,1058.85693084571,1058.85693084571,1058.85693084571,541.395419263961,541.395419263961,1048.23327556418,541.395419263961,791.53963893162,NA,179.312576246063,671.855639255934,1273.45003828183,843.600616405654,706.933518797914,866.977508358781,1199.41860916029,671.323320018007,943.28415655093,2043.20703796752,2043.20703796752,604.458435295596,2396.96871068439,60.9097693313642,164.057916602644,938.741178387313,233.927339146155,1051.24354932623,1264.25076626435,327.249140564189,176.943493805226,334.483183433786,1553.21537463418,959.394079614837,882.290768397811,979.437083226891
SAMR_29707_Ct_brac,1009.90742149961,1009.90742149961,1009.90742149961,1009.90742149961,1009.90742149961,473.864959666781,473.864959666781,996.707579985223,473.864959666781,754.751614771376,179.312576246063,NA,697.814445250312,1216.99876746035,807.746866289186,656.015243725327,824.75632765078,1144.21414079708,618.878017059905,897.051837967015,2105.71270595017,2105.71270595017,682.485897290193,2431.23713364205,150.482557128725,153.603385379359,889.541454908089,250.009999800008,1093.85830892305,1295.10347076981,366.912796179147,281.392963664694,308.927175884544,1594.60183117918,907.982378683639,837.848434980934,949.01106421369
SAMR_36252_Ct_brac,1706.28368098625,1706.28368098625,1706.28368098625,1706.28368098625,1706.28368098625,1170.5148439896,1170.5148439896,1693.53742208432,1170.5148439896,1445.23804267671,671.855639255934,697.814445250312,NA,1914.49862888434,1497.01502998467,1351.05847393812,1517.5756982767,1841.69785795608,1313.85805930473,1591.77102624718,1415.87605389737,1415.87605389737,208.033651124043,1738.44959662338,716.414684383284,804.785064473739,1585.49519078425,895.325639083345,411.265121302549,607.361506847446,363.502407144712,503.06162644352,987.792994508465,903.481045733667,1604.56754298471,1531.99184070934,1637.58816556545
SAMR_36349_Ct_brac,218.295671051902,218.295671051902,218.295671051902,218.295671051902,218.295671051902,744.23517788398,744.23517788398,228.871142785629,744.23517788398,498.375360546647,1273.45003828183,1216.99876746035,1914.49862888434,NA,459.657481174842,571.641496044505,423.545747233991,75.5115885146114,608.682183080793,344.833293056224,3314.20246816636,3314.20246816636,1876.71228482152,3642.37148023098,1219.85859836294,1121.06110448985,335.228280429918,1047.57672750019,2303.45045529527,2505.99381483674,1568.32235206924,1448.31074013832,939.441323340633,2805.35505774225,315.604182481792,402.517080382932,348.671765418423
SAMR_44367_Ct_hele,246.669819799667,246.669819799667,246.669819799667,246.669819799667,246.669819799667,359.309059167731,359.309059167731,234.761581183975,359.309059167731,58.1291665173345,843.600616405654,807.746866289186,1497.01502998467,459.657481174842,NA,164.818081532337,45.6289381861993,385.410171116435,197.673974007708,117.051270817535,2883.47065183608,2883.47065183608,1445.2999688646,3233.27249083649,795.238329056139,704.448010856727,165.773942463826,611.013911461924,1889.63885438461,2097.33020766879,1154.99350647525,1016.69021830644,520.177854199888,2392.1973162764,165.151445649137,71.239034243875,144.440299085816
SAMR_45480_Ct_saxa,358.501046023579,358.501046023579,358.501046023579,358.501046023579,358.501046023579,196.173392691262,196.173392691262,344.972462669124,196.173392691262,111.579568022107,706.933518797914,656.015243725327,1351.05847393812,571.641496044505,164.818081532337,NA,170.894704423513,496.992957696585,38.1837661840736,241.14311103575,2747.08172430308,2747.08172430308,1309.2306901383,3085.61403937693,654.96488455489,558.725335026075,243.154272016759,478.87263442381,1743.65306182165,1948.84042445758,1007.92410428564,880.144306349817,376.281809286604,2246.17920033109,257.036962322542,182.126329782379,301.181008697428
SAMR_46119_Ct_hele,208.949754725867,208.949754725867,208.949754725867,208.949754725867,208.949754725867,365.878395098699,365.878395098699,195.956627854227,365.878395098699,77.4273853361974,866.977508358781,824.75632765078,1517.5756982767,423.545747233991,45.6289381861993,170.894704423513,NA,348.684671300589,207.086938265068,79.1517529812196,2908.36913062974,2908.36913062974,1469.78842014761,3253.12664985549,816.949202827201,723.541982195919,122.983738762488,635.682310592327,1910.00130890008,2116.58498530061,1174.3789848256,1040.69832324262,539.133564156416,2412.69185765609,121.503086380552,26.4007575648882,134.033577882559
SAMR_46880_Ct_saxa,144.107598689313,144.107598689313,144.107598689313,144.107598689313,144.107598689313,671.677005710334,671.677005710334,153.863575936607,671.677005710334,423.391072177957,1199.41860916029,1144.21414079708,1841.69785795608,75.5115885146114,385.410171116435,496.992957696585,348.684671300589,NA,534.061794177415,270.155510771111,3240.57217170055,3240.57217170055,1802.73708565614,3570.91108822384,1146.05017342174,1047.72610924802,261.537760180055,973.052413798969,2231.17054480378,2434.30380191134,1495.66607235706,1374.25543477186,865.677769149699,2733.28392231762,241.051861639772,327.39273052406,279.281220278056
SAMR_48710_Ct_hele,396.205754627567,396.205754627567,396.205754627567,396.205754627567,396.205754627567,164.091437924104,164.091437924104,382.397698737845,164.091437924104,144.367586389743,671.323320018007,618.878017059905,1313.85805930473,608.682183080793,197.673974007708,38.1837661840736,207.086938265068,534.061794177415,NA,278.26965339397,2710.44977817336,2710.44977817336,1272.87666331031,3048.81681968596,619.332705417694,523.255195865268,280.659936578059,443.642874393357,1707.12916910233,1912.14617642062,971.66815322928,843.991706120386,341.751371613926,2209.54814385204,294.621791454739,219.248717214035,336.567972332484
SAMR_50208_Ct_saxa,133.037588673277,133.037588673277,133.037588673277,133.037588673277,133.037588673277,432.131924300901,432.131924300901,118.61703081767,432.131924300901,155.884572681199,943.28415655093,897.051837967015,1591.77102624718,344.833293056224,117.051270817535,241.14311103575,79.1517529812196,270.155510771111,278.26965339397,NA,2985.04472328305,2985.04472328305,1546.46338462959,3326.63583820051,892.443275508309,797.575074836219,84.2733647127015,712.799410774167,1984.13154805824,2189.84542833507,1248.17506784906,1117.24035014853,613.411770346804,2486.80698889158,62.5939294181153,61.5304802516606,99.5489829179585
UMMZ_242614_Ct_hele,3101.33664731838,3101.33664731838,3101.33664731838,3101.33664731838,3101.33664731838,2572.46068968993,2572.46068968993,3090.2054947851,2572.46068968993,2833.04500493727,2043.20703796752,2105.71270595017,1415.87605389737,3314.20246816636,2883.47065183608,2747.08172430308,2908.36913062974,3240.57217170055,2710.44977817336,2985.04472328305,NA,0,1439.16329858706,535.505368787279,2095.24342261228,2193.34675781099,2980.55531738634,2273.30354330433,1032.15405826843,867.714814901763,1750.13113794367,1868.09368073445,2375.59802997056,575.610111099518,3001.15611056806,2924.26024833632,3019.45458651062
