,CUMV_14700_Ct_scho,NA_ABTC113798_Ct_scho,NA_ABTC12623_Ct_scho,SAMAR_24578_Ct_scho,SAMAR_25378_Ct_scho,SAMAR_26265_Ct_scho,SAMAR_32255_Ct_scho,SAMAR_35050_Ct_scho,SAMAR_37073_Ct_scho,SAMAR_41321_Ct_scho,SAMAR_41903_Ct_scho,SAMAR_45530_Ct_scho,SAMAR_46104_Ct_scho,SAMAR_46452_Ct_scho,SAMAR_48325_Ct_scho,SAMAR_48354_Ct_scho,SAMAR_49141_Ct_scho,SAMAR_50062_Ct_scho,SAMAR_59192_Ct_scho,SAMAR_60340_Ct_scho,SAMAR_62561_Ct_scho,SAMR_62121_Ct_scho,SAMR_65381_Ct_scho,UMMZ_242648_Ct_scho,WAMR_077870_Ct_scho,WAMR_100527_Ct_scho,WAMR_102261_Ct_scho,WAMR_151241_Ct_scho,WAMR_151655_Ct_scho
SAMAR_41903_Ct_scho,4.43835616438356,1.45762711864407,0.397727272727273,1.525,4.69444444444444,4.92857142857143,5.08928571428572,1.83333333333333,1.48,1.76363636363636,NA,4.57142857142857,0.29,1.65625,1.61111111111111,1.225,0.710526315789474,1.53164556962025,0.876923076923077,0.237623762376238,0.3375,0.25,1.93333333333333,4.90769230769231,4.80851063829787,4.72131147540984,4.9375,4.01818181818182,5.47368421052632
SAMAR_45530_Ct_scho,1.02985074626866,6.16666666666667,4.43835616438356,6.16393442622951,0.304347826086957,0.119402985074627,0.320754716981132,6.97727272727272,9.48717948717948,9.09756097560976,4.57142857142857,NA,4.32911392405063,7.88888888888889,6.42105263157895,5.46153846153846,5.80952380952381,5.43939393939394,8.08695652173913,4.28915662650602,5.11940298507463,4.69230769230769,7.76190476190477,1.15,0.25531914893617,0.322033898305085,1.59649122807018,0.239130434782609,1.12727272727273
SAMAR_46104_Ct_scho,3.9367088607595,1.02985074626866,0.206185567010309,1.40243902439024,4.43055555555556,4.75,4.94642857142857,1.43859649122807,1.06896551724138,1.38983050847458,0.29,4.32911392405063,NA,1.59090909090909,1.44,1.0952380952381,0.654320987654321,1.16470588235294,0.739130434782609,0.150943396226415,0.340909090909091,0.140845070422535,1.74193548387097,4.63380281690141,4.26,4.5,4.67164179104478,3.85185185185185,5
SAMAR_46452_Ct_scho,6.50943396226415,0.511111111111111,1.89830508474576,0.680851063829787,7,7.91489361702128,7.825,0.454545454545455,5.78571428571428,5.35714285714285,1.65625,7.88888888888889,1.59090909090909,NA,0.195121951219512,0.163636363636364,2.69565217391304,0.34,3.43243243243243,1.83333333333333,2.49019607843137,1.52083333333333,1.35135135135135,8.04761904761905,9.28571428571429,7.37209302325581,8.35897435897436,6.35135135135135,9.71428571428571
SAMAR_48325_Ct_scho,7.58695652173913,0.5,1.32835820895522,0.433333333333333,8.06818181818182,8.67441860465117,8.72222222222222,0.277777777777778,5.78571428571428,4.91428571428572,1.61111111111111,6.42105263157895,1.44,0.195121951219512,NA,0.107142857142857,2.47368421052632,0.266666666666667,3.55,1.71052631578947,2.14035087719298,1.35294117647059,1.47368421052632,7.6,9.07142857142857,7.70731707317073,7.6590909090909,7.39393939393939,10.0588235294118
SAMAR_48354_Ct_scho,5.29850746268657,0.245283018867925,1.15384615384615,0.21875,5.61904761904762,5.95238095238095,6.01960784313725,0.227272727272727,3.36363636363636,3.27272727272727,1.225,5.46153846153846,1.0952380952381,0.163636363636364,0.107142857142857,NA,1.859375,0.0491803278688525,2.68085106382979,1.23170731707317,1.66176470588235,1.25454545454545,0.69811320754717,6.05172413793103,6.64102564102564,5.36666666666666,5.82758620689655,5.16666666666667,6.56603773584906
SAMAR_49141_Ct_scho,5.03125,2.06122448979592,0.626666666666667,2.13636363636364,5.71186440677966,5.8,6.56818181818182,2.36585365853659,1.325,1.53658536585366,0.710526315789474,5.80952380952381,0.654320987654321,2.69565217391304,2.47368421052632,1.859375,NA,2.04411764705882,0.509803921568627,0.494252873563218,0.63768115942029,0.381818181818182,2.59574468085106,5.98214285714286,7.86666666666666,5.82692307692308,6.3921568627451,5.06666666666667,6.59183673469388
SAMAR_50062_Ct_scho,4.92307692307693,0.39622641509434,1.26315789473684,0.194444444444444,5.30645161290323,5.96610169491525,6.14583333333334,0.2,3.68292682926829,4.14634146341463,1.53164556962025,5.43939393939394,1.16470588235294,0.34,0.266666666666667,0.0491803278688525,2.04411764705882,NA,2.67307692307692,1.44444444444444,1.56521739130435,1.01724137931034,1,5.68421052631579,5.70731707317073,6.10204081632653,5.81132075471698,4.8,6.46938775510204
SAMAR_59192_Ct_scho,6.68,2.94736842105263,0.818181818181818,2.87755102040816,7.90909090909091,7.57446808510638,9.53125000000001,3.96296296296296,2.12,2.14285714285714,0.876923076923077,8.08695652173913,0.739130434782609,3.43243243243243,3.55,2.68085106382979,0.509803921568627,2.67307692307692,NA,0.714285714285714,1.11764705882353,0.666666666666667,3.5,8.07142857142857,9.74999999999999,9.02941176470588,7.82926829268293,7.09375,9.58823529411765
SAMAR_60340_Ct_scho,3.8,1.2,0.333333333333333,1.39759036144578,4.52777777777778,4.77777777777778,5.17857142857143,1.40677966101695,1.11864406779661,1.24590163934426,0.237623762376238,4.28915662650602,0.150943396226415,1.83333333333333,1.71052631578947,1.23170731707317,0.494252873563218,1.44444444444444,0.714285714285714,NA,0.113636363636364,0.0579710144927536,1.79032258064516,4.14666666666667,4.29411764705882,4.07042253521127,4.27777777777778,3.359375,4.28985507246377
SAMAR_62561_Ct_scho,4.48611111111111,1.88,0.285714285714286,1.98360655737705,5.3125,5.52307692307692,6,1.8936170212766,1.5,1.4468085106383,0.3375,5.11940298507463,0.340909090909091,2.49019607843137,2.14035087719298,1.66176470588235,0.63768115942029,1.56521739130435,1.11764705882353,0.113636363636364,NA,0.274193548387097,2.45098039215686,4.96969696969697,5.53658536585366,5.10344827586207,5.06349206349206,4.78723404255319,5.68421052631579
SAMR_62121_Ct_scho,3.98214285714286,1.13725490196078,0.126760563380282,1.35185185185185,4.36363636363637,5.1,4.91304347826087,1.28260869565217,1.7027027027027,1.46153846153846,0.25,4.69230769230769,0.140845070422535,1.52083333333333,1.35294117647059,1.25454545454545,0.381818181818182,1.01724137931034,0.666666666666667,0.0579710144927536,0.274193548387097,NA,1.43478260869565,4.32,4.3,4.12244897959184,4.6304347826087,3.6,4.69565217391304
SAMR_65381_Ct_scho,7.36363636363637,0.25,1.63934426229508,0.75,8.47368421052632,8.0952380952381,9,1.02777777777778,5.17857142857143,4.76666666666667,1.93333333333333,7.76190476190477,1.74193548387097,1.35135135135135,1.47368421052632,0.69811320754717,2.59574468085106,1,3.5,1.79032258064516,2.45098039215686,1.43478260869565,NA,7.85,9.6,7.25,9.02857142857143,6.51428571428571,10.5161290322581
UMMZ_242648_Ct_scho,0.4375,7.175,4.75757575757576,6.80769230769231,1.125,0.932203389830508,1.3125,7.86486486486487,9.54054054054054,9.94117647058823,4.90769230769231,1.15,4.63380281690141,8.04761904761905,7.6,6.05172413793103,5.98214285714286,5.68421052631579,8.07142857142857,4.14666666666667,4.96969696969697,4.32,7.85,NA,1.55882352941176,0.96078431372549,0.641509433962264,1.13157894736842,0.557692307692308
WAMR_077870_Ct_scho,1.125,6.45714285714286,4.69387755102041,6.97222222222222,0.475,0.195121951219512,0.27027027027027,8.42857142857143,11.4285714285714,9.16666666666667,4.80851063829787,0.25531914893617,4.26,9.28571428571429,9.07142857142857,6.64102564102564,7.86666666666666,5.70731707317073,9.74999999999999,4.29411764705882,5.53658536585366,4.3,9.6,1.55882352941176,NA,0.195121951219512,1.47222222222222,0.111111111111111,1.25714285714286
WAMR_100527_Ct_scho,0.8,6.09302325581395,4.35294117647059,5.9811320754717,0.448275862068966,0.241935483870968,0.416666666666667,6.775,9.32352941176471,9.125,4.72131147540984,0.322033898305085,4.5,7.37209302325581,7.70731707317073,5.36666666666666,5.82692307692308,6.10204081632653,9.02941176470588,4.07042253521127,5.10344827586207,4.12244897959184,7.25,0.96078431372549,0.195121951219512,NA,0.932203389830508,0.0454545454545454,0.859649122807018
WAMR_102261_Ct_scho,0.292307692307692,8,4.47692307692308,6.95918367346939,1.31666666666667,1.22950819672131,1.75,7.26315789473684,10.0882352941177,9.58823529411765,4.9375,1.59649122807018,4.67164179104478,8.35897435897436,7.6590909090909,5.82758620689655,6.3921568627451,5.81132075471698,7.82926829268293,4.27777777777778,5.06349206349206,4.6304347826087,9.02857142857143,0.641509433962264,1.47222222222222,0.932203389830508,NA,1.2093023255814,0.824561403508772
WAMR_151241_Ct_scho,0.711111111111111,5.52631578947368,3.96491228070175,5.28888888888889,0.261904761904762,0.0204081632653061,0.195121951219512,6.30555555555556,9.4074074074074,8.24137931034482,4.01818181818182,0.239130434782609,3.85185185185185,6.35135135135135,7.39393939393939,5.16666666666667,5.06666666666667,4.8,7.09375,3.359375,4.78723404255319,3.6,6.51428571428571,1.13157894736842,0.111111111111111,0.0454545454545454,1.2093023255814,NA,0.857142857142857
WAMR_151655_Ct_scho,0.639344262295082,8.63636363636364,5.20338983050848,7.51111111111111,0.946428571428571,0.873015873015873,1.3695652173913,9.3125,12.25,12.4230769230769,5.47368421052632,1.12727272727273,5,9.71428571428571,10.0588235294118,6.56603773584906,6.59183673469388,6.46938775510204,9.58823529411765,4.28985507246377,5.68421052631579,4.69565217391304,10.5161290322581,0.557692307692308,1.25714285714286,0.859649122807018,0.824561403508772,0.857142857142857,NA
