,NA_CCM0535_Ct_inor,NA_CCM2292_Ct_inor,NA_CCM2518_Ct_vert,NA_CCM2565_Ct_vert,NA_CCM3869_Ct_inor,NTMR_25983_Ct_spal,SAMAR_34180_Ct_bore,SAMR_38776_Ct_saxa,SAMR_53975_Ct_saxa,UMMZ_242624_Ct_inor,UMMZ_242629_Ct_inor,UMMZ_242630_Ct_inor,WAMR_108698_Ct_saxa,WAMR_108745_Ct_saxa,WAMR_108816_Ct_saxa,WAMR_132522_Ct_saxa,WAMR_132682_Ct_saxa,WAMR_132686_Ct_saxa,WAMR_132723_Ct_saxa,WAMR_139005_Ct_saxa,WAMR_153812_Ct_saxa
UMMZ_242629_Ct_inor,536.860353300189,803.153398495162,824.404595689218,885.94013636205,999.622936990905,478.145244369788,787.262229151531,675.529366687892,685.395660409009,462.040960085833,NA,0.229059197943861,304.580522822884,222.015642402859,1162.07548473778,1159.84947917355,799.577527564231,794.527904496079,882.965428647088,665.528207795593,1463.71050504005
UMMZ_242630_Ct_inor,537.018542730891,803.316806433106,824.55190801503,886.090685846071,999.784291898643,478.305018878402,787.477190674832,675.758024694169,685.604131969563,461.822322953189,0.229059197943861,NA,304.371736045996,222.067269584579,1161.84975525141,1159.6223671131,799.352182703763,794.302390047486,882.738196305887,665.299687391027,1463.48649010914
WAMR_108698_Ct_saxa,699.55211050864,956.315886434476,952.979088750679,1016.44375853979,1142.19172795246,648.517541625075,1026.86209508852,966.194554316612,989.974846946137,163.856632552369,304.580522822884,304.371736045996,NA,339.951917585719,925.419631399355,914.852178779005,575.371947296116,569.556419642682,643.208100588964,422.3221139279,1231.36877811393
WAMR_108745_Ct_saxa,363.932450821128,627.315708965493,634.647394273591,697.894325571739,819.214729834025,310.36700101747,690.980536000697,674.835868056005,761.2307986421,497.121201587642,222.015642402859,222.067269584579,339.951917585719,NA,1264.52069719235,1254.66677571185,910.487529559507,904.819409729743,981.966369082256,760.324927030664,1570.39349671937
WAMR_108816_Ct_saxa,1624.76220448675,1878.17153491403,1868.24560938409,1931.04963848234,2058.81030589359,1573.91209163943,1941.51055063155,1826.25763401241,1770.6101336192,779.535351043831,1162.07548473778,1161.84975525141,925.419631399355,1264.52069719235,NA,46.4980575460792,362.615322110172,367.584353526003,282.669219263842,504.544116616727,305.949963372711
WAMR_132522_Ct_saxa,1613.07329172945,1864.20068252086,1852.36415872205,1914.92419436355,2043.00850804725,1563.09515321643,1935.45613945559,1827.65749327506,1778.34331982338,765.20010586379,1159.84947917355,1159.6223671131,914.852178779005,1254.66677571185,46.4980575460792,NA,363.42994212925,367.921766988126,276.914927444371,497.282096752238,320.90274873514
WAMR_132682_Ct_saxa,1273.41191490585,1531.67798416649,1527.27609581447,1590.61922826861,1716.98708778686,1220.82875195903,1580.91688546755,1464.57083109972,1417.09917848354,445.229071667642,799.577527564231,799.352182703763,575.371947296116,910.487529559507,362.615322110172,363.42994212925,NA,6.04287669974685,94.8437692123423,156.763340329294,664.91423933245
WAMR_132686_Ct_saxa,1267.69193375699,1525.86864929207,1521.38652512511,1584.72521243393,1711.11383055229,1215.15205560974,1575.59684835969,1459.91469366398,1413.16857788816,439.20412135526,794.527904496079,794.302390047486,569.556419642682,904.819409729743,367.584353526003,367.921766988126,6.04287669974685,NA,97.7152986880112,150.744419716986,670.182906545142
WAMR_132723_Ct_saxa,1342.73814498997,1597.52215576842,1589.48627641662,1652.5323937913,1779.84131750438,1291.55626001111,1659.51662615353,1551.87786744575,1509.33873649141,500.914638989581,882.965428647088,882.738196305887,643.208100588964,981.966369082256,282.669219263842,276.914927444371,94.8437692123423,97.7152986880112,NA,221.87935364938,588.434290286709
WAMR_139005_Ct_saxa,1121.76450840937,1378.08216118272,1372.16826074143,1435.42638078071,1562.14895214031,1070.16380922336,1438.1961395703,1338.31086273977,1309.47349903332,288.479884755132,665.528207795593,665.299687391027,422.3221139279,760.324927030664,504.544116616727,497.282096752238,156.763340329294,150.744419716986,221.87935364938,NA,810.217320509979
WAMR_153812_Ct_saxa,1930.69540737634,2183.63998830122,2172.77742395431,2235.42903075277,2363.40300779801,1879.85498219592,2245.72960127167,2122.36241983103,2054.64816960991,1084.68138823958,1463.71050504005,1463.48649010914,1231.36877811393,1570.39349671937,305.949963372711,320.90274873514,664.91423933245,670.182906545142,588.434290286709,810.217320509979,NA
